2023-10-27 09:03:54.754 INFO  [restartedMain] [c.b.back_bipatv.BackBipaTvApplication] - Starting BackBipaTvApplication using Java 11.0.18 on DESKTOP-TALH15P with PID 17120 (C:\Users\금정산2_PC2\Desktop\bipaTV\Back_bipaTV\build\classes\java\main started by pc2 in C:\Users\금정산2_PC2\Desktop\bipaTV\Back_bipaTV)
2023-10-27 09:03:55.262 INFO  [restartedMain] [o.s.d.r.c.RepositoryConfigurationExtensionSupport] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.bipa4.back_bipatv.repository.VideoChannelRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-10-27 09:03:55.262 INFO  [restartedMain] [o.s.d.r.c.RepositoryConfigurationExtensionSupport] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.bipa4.back_bipatv.repository.VideoRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-10-27 09:03:55.262 INFO  [restartedMain] [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2023-10-27 09:03:55.314 INFO  [restartedMain] [c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor] - Post-processing PropertySource instances
2023-10-27 09:03:55.314 INFO  [restartedMain] [c.u.j.EncryptablePropertySourceConverter] - Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2023-10-27 09:03:55.314 INFO  [restartedMain] [c.u.j.EncryptablePropertySourceConverter] - Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2023-10-27 09:03:55.314 INFO  [restartedMain] [c.u.j.EncryptablePropertySourceConverter] - Skipping PropertySource servletContextInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2023-10-27 09:03:55.315 INFO  [restartedMain] [c.u.j.EncryptablePropertySourceConverter] - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
2023-10-27 09:03:55.315 INFO  [restartedMain] [c.u.j.EncryptablePropertySourceConverter] - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper
2023-10-27 09:03:55.315 INFO  [restartedMain] [c.u.j.EncryptablePropertySourceConverter] - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
2023-10-27 09:03:55.315 INFO  [restartedMain] [c.u.j.EncryptablePropertySourceConverter] - Converting PropertySource Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
2023-10-27 09:03:55.315 INFO  [restartedMain] [c.u.j.EncryptablePropertySourceConverter] - Converting PropertySource devtools [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2023-10-27 09:03:55.356 INFO  [restartedMain] [c.u.j.filter.DefaultLazyPropertyFilter] - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
2023-10-27 09:03:55.358 INFO  [restartedMain] [c.u.j.r.DefaultLazyPropertyResolver] - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
2023-10-27 09:03:55.358 INFO  [restartedMain] [c.u.j.d.DefaultLazyPropertyDetector] - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
2023-10-27 09:03:55.415 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8080 (http)
2023-10-27 09:03:55.416 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-127.0.0.1-8080"]
2023-10-27 09:03:55.416 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-10-27 09:03:55.416 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.79]
2023-10-27 09:03:55.438 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-10-27 09:03:55.438 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 680 ms
2023-10-27 09:03:55.562 INFO  [restartedMain] [o.hibernate.jpa.internal.util.LogHelper] - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-27 09:03:55.569 INFO  [restartedMain] [com.zaxxer.hikari.HikariDataSource] - HikariPool-4 - Starting...
2023-10-27 09:03:55.778 INFO  [restartedMain] [com.zaxxer.hikari.HikariDataSource] - HikariPool-4 - Start completed.
2023-10-27 09:03:55.779 INFO  [restartedMain] [org.hibernate.dialect.Dialect] - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2023-10-27 09:03:56.248 INFO  [restartedMain] [o.h.e.t.j.p.i.JtaPlatformInitiator] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-27 09:03:56.249 INFO  [restartedMain] [o.s.o.j.LocalContainerEntityManagerFactoryBean] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-10-27 09:03:56.851 INFO  [restartedMain] [o.s.b.a.e.web.EndpointLinksResolver] - Exposing 2 endpoint(s) beneath base path '/checking'
2023-10-27 09:03:56.963 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-10-27 09:03:57.223 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-127.0.0.1-8080"]
2023-10-27 09:03:57.225 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8080 (http) with context path ''
2023-10-27 09:03:57.225 INFO  [restartedMain] [c.u.j.c.RefreshScopeRefreshedEventListener] - Refreshing cached encryptable property sources on ServletWebServerInitializedEvent
2023-10-27 09:03:57.225 INFO  [restartedMain] [c.u.j.c.CachingDelegateEncryptablePropertySource] - Property Source systemProperties refreshed
2023-10-27 09:03:57.225 INFO  [restartedMain] [c.u.j.c.CachingDelegateEncryptablePropertySource] - Property Source systemEnvironment refreshed
2023-10-27 09:03:57.225 INFO  [restartedMain] [c.u.j.c.CachingDelegateEncryptablePropertySource] - Property Source random refreshed
2023-10-27 09:03:57.225 INFO  [restartedMain] [c.u.j.c.CachingDelegateEncryptablePropertySource] - Property Source Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' refreshed
2023-10-27 09:03:57.225 INFO  [restartedMain] [c.u.j.c.CachingDelegateEncryptablePropertySource] - Property Source devtools refreshed
2023-10-27 09:03:57.225 INFO  [restartedMain] [c.u.j.EncryptablePropertySourceConverter] - Converting PropertySource server.ports [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2023-10-27 09:03:57.225 INFO  [restartedMain] [c.u.j.EncryptablePropertySourceConverter] - Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2023-10-27 09:03:57.225 INFO  [restartedMain] [c.u.j.EncryptablePropertySourceConverter] - Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2023-10-27 09:03:57.225 INFO  [restartedMain] [c.u.j.EncryptablePropertySourceConverter] - Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper
2023-10-27 09:03:57.226 INFO  [restartedMain] [c.u.j.EncryptablePropertySourceConverter] - Converting PropertySource Management Server [org.springframework.boot.actuate.autoconfigure.web.server.ManagementContextAutoConfiguration$SameManagementContextConfiguration$1] to EncryptablePropertySourceWrapper
2023-10-27 09:03:57.344 INFO  [restartedMain] [c.b.back_bipatv.BackBipaTvApplication] - Started BackBipaTvApplication in 2.623 seconds (JVM running for 46570.699)
2023-10-27 09:03:57.345 INFO  [restartedMain] [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
